23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 begin boil
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera on
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 begin play
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch on
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.main.Main  - 1409
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 finish blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 finish blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - KETTLE Philips KPB43 1000 finish boil
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - PHOTO_CAMERA NIKON D5100 9 camera off
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - MEDIA_CENTER SONY MCS22 100 finish play
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances switch off
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HPS32 100 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 200 begin to blow
23.06.2014 17:55:51 [main] INFO  by.boika.electrical.main.Main  - 300
09.07.2014 14:49:38 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  - 1
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  - 5
09.07.2014 14:50:07 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  - 5
09.07.2014 14:51:52 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  -
        
            Hairdryer
            HPS32
            Philips
            220
            100
            2
        

        
            Hairdryer
            HSY55
            SONY
            220
            200
            2
        

        
            Kettle
            KPB43
            Philips
            220
            1000
            2
        

        
            Media_Center
            MCS22
            SONY
            220
            100
            2
        
    
09.07.2014 14:52:14 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  - [local: null]
09.07.2014 14:52:26 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  -
09.07.2014 14:52:40 [main] INFO  by.boika.electrical.parsers.dom.DOMParserReader  -
